	gene	locus_tag	product	protein_id	EC_number
381	rbcL	SMb20393	Putative ribulose bisphosphate 	CAC48779.1	4.1.1.39
382	NA	SMb20394	Conserved hypothetical protein	CAC48780.1	NA
383	NA	SMb20395	Putative dehydrogenase	CAC48781.1	1.17.1.4
384	NA	SMb20396	Probable oxidoreductase	CAC48782.1	1.17.1.4
385	NA	SMb20397	Probable oxidoreductase	CAC48783.1	NA
386	NA	SMb20398	Conserved hypothetical protein	CAC48784.1	NA
387	NA	SMb20399	Hypothetical protein	CAC48785.1	NA
388	NA	SMb20400	Hypothetical protein	CAC48786.1	NA
389	NA	SMb20401	Hypothetical protein	CAC48787.1	NA
390	NA	SMb20402	Putative alcohol dehydrogenase cytochrome c 	CAC48788.1	NA
391	NA	SMb20403	Putative oxidoreductase subunit	CAC48789.1	NA
392	NA	SMb20404	Putative aldehyde dehydrogenase	CAC48790.1	NA
393	NA	SMb20405	Putative transcriptional regulator	CAC48791.1	NA
394	hyuA	SMb20406	5-oxoprolinase (ATP-hydrolysing)	CAC48792.1	3.5.2.9
395	hyuB	SMb20407	5-oxoprolinase (ATP-hydrolysing)	CAC48793.1	3.5.2.9
396	NA	SMb20408	Conserved hypothetical protein	CAC48794.1	NA
397	NA	SMb20409	3-oxoacyl-[acyl-carrier-protein] reductase	CAC48795.1	1.1.1.100
398	NA	SMb20410	ABC transporter, periplasmic solute-binding 	CAC48796.1	NA
399	NA	SMb20411	Conserved hypothetical protein	CAC48797.1	NA
400	NA	SMb20412	Conserved hypothetical protein	CAC48798.1	NA
401	NA	SMb20413	Hypothetical protein	CAC48799.1	NA
402	NA	SMb20414	Hypothetical protein	CAC48800.1	NA
403	NA	SMb20415	Putative oxidoreductase	CAC48801.1	NA
404	ugpB	SMb20416	Probable ABC transporter periplasmic 	CAC48802.1	NA
405	ugpA	SMb20417	Probable glycerol-3-phosphate ABC transporter 	CAC48803.1	NA
406	ugpE	SMb20418	Probable glycerol-3-phosphate ABC transporter 	CAC48804.1	NA
407	ugpC	SMb20419	Glycerol-3-phosphate-transporting ATPase	CAC48805.1	3.6.3.20
408	NA	SMb20420	Glutathione transferase	CAC48806.1	2.5.1.18
409	TRm21	SMb20421	Putative Transposase for insertion sequence 	CAC48807.1	NA
410	NA	SMb20422	Putative alcohol dehydrogenase	CAC48808.1	1.1.1.1
411	NA	SMb20423	Adenosylmethionine-8-amino-7-oxononanoate 	CAC48809.1	2.6.1.62
412	NA	SMb20424	Succinate-semialdehyde dehydrogenase [NAD(P)+]	CAC48810.1	1.2.1.16
413	NA	SMb20425	Putative transcriptional regulator	CAC48811.1	NA
414	NA	SMb20426	Aspartate transaminase	CAC48812.1	2.6.1.1
415	ehuA	SMb20427	ABC-type ectoine/hydroxyectoine transport 	CAC48813.1	NA
416	ehuB	SMb20428	Periplasmic ectoine/hydroxyectoine binding 	CAC48814.1	NA
417	ehuC	SMb20429	ABC-type ectoine/hydroxyectoine transport 	CAC48815.1	NA
418	ehuD	SMb20430	ABC-type ectoine/hydroxyectoine transport 	CAC48816.1	NA
419	eutA	SMb20431	Putative arylmalonate decarboxylase or maleate 	CAC48817.1	4.1.1.76
420	eutB	SMb20432	Putative threonine dehydratase, involved in 	CAC48818.1	4.3.1.19
421	eutC	SMb20433	Probable ornithine cyclodeaminase, involved in 	CAC48819.1	4.3.1.12
422	eutD	SMb20434	Probable Xaa-Pro dipeptidase, involved in 	CAC48820.1	3.4.13.9
423	eutE	SMb20435	Probable succinylglutamate 	CAC48821.1	NA
424	NA	SMb20436	Probable nitrate transporter	CAC48822.1	NA
425	NA	SMb20441	Transcriptional regulator, GntR family, possible 	CAC48823.1	NA
426	NA	SMb20442	Trap-type periplasmic solute-binding protein	CAC48824.1	NA
427	NA	SMb20443	Trap-type small permease component	CAC48825.1	NA
428	NA	SMb20444	Trap-type large permease component	CAC48826.1	NA
429	NA	SMb20445	Zinc-binding deydrogenase	CAC48827.1	1.1.1.-
430	uxuA	SMb20446	D-mannonate dehydratase	CAC48828.1	4.2.1.8
431	NA	SMb20447	Diguanylate cyclase/phosphodiesterase	CAC48829.1	NA
432	NA	SMb20448	Hypothetical protein	CAC48830.1	NA
433	NA	SMb20449	Probable methyltransferase	CAC48831.1	2.1.1.-
434	NA	SMb20450	Putative regulatory protein	CAC48832.1	NA
435	NA	SMb20451	Conserved hypothetical protein	CAC48833.1	NA
436	NA	SMb20452	Conserved hypothetical protein	CAC48834.1	NA
437	NA	SMb20453	Putative gluconolactonase precursor protein	CAC48835.1	3.1.1.17
438	NA	SMb20454	Conserved hypothetical protein	CAC48836.1	NA
439	NA	SMb20455	Putative transcriptional regulator	CAC48837.1	NA
440	NA	SMb20456	3-oxoacyl-[acyl-carrier-protein] reductase	CAC48838.1	1.1.1.100
441	NA	SMb20457	Putative transcriptional regulator transcription 	CAC48839.1	NA
442	NA	SMb20458	Putative dTDP-glucose 4,6-dehydratase	CAC48840.1	4.2.1.46
443	NA	SMb20459	Putative UDP-glucose 4-epimerase	CAC48841.1	5.1.3.2
444	NA	SMb20460	Cellulose synthase (UDP-forming)	CAC48842.1	2.4.1.12
445	NA	SMb20461	Conserved hypothetical protein	CAC48843.1	NA
446	NA	SMb20462	Probable endoglucanase H	CAC48844.1	3.2.1.4
447	NA	SMb20463	Conserved hypothetical protein	CAC48845.1	NA
448	NA	SMb20464	Hypothetical protein	CAC48846.1	NA
449	NA	SMb20465	Probable glucokinase	CAC48847.1	NA
450	NA	SMb20466	Probable cellulase	CAC48848.1	3.2.1.-
451	NA	SMb20467	Putative sensor kinase	CAC48849.1	NA
452	NA	SMb20468	Putative sensory transduction DNA-binding 	CAC48850.1	NA
453	NA	SMb20469	Hypothetical protein	CAC48851.2	NA
454	NA	SMb20470	Hypothetical protein	CAC48852.1	NA
455	NA	SMb20471	Hypothetical protein	CAC48853.1	NA
456	NA	SMb20472	Probable carbamoyltransferase	CAC48854.1	2.-.-.-
457	NA	SMb20473	Hypothetical protein	CAC48855.1	NA
458	NA	SMb20474	Hypothetical protein	CAC48856.1	NA
459	NA	SMb20475	Conserved hypothetical protein	CAC48857.1	NA
460	NA	SMb20476	Putative ABC transporter periplasmic 	CAC48858.1	NA
461	NA	SMb20477	Putative didpeptide ABC transporter permease	CAC48859.1	NA
462	NA	SMb20478	Putative dipeptide ABC transporter permease and 	CAC48860.1	NA
463	NA	SMb20479	Putative dipeptide ABC transporter ATP-binding 	CAC48861.1	NA
464	NA	SMb20480	Putative transcriptional regulator	CAC48862.1	NA
465	asnO	SMb20481	Asparagine synthase	CAC48863.1	6.3.5.4
466	NA	SMb20482	Probable D-alanine-D-alanine-ligase	CAC48864.1	6.-.-.-
467	NA	SMb20483	Probable transcriptional regulator	CAC48865.1	NA
468	NA	SMb20484	Putative ABC transporter periplasmic 	CAC48866.1	NA
469	NA	SMb20485	Putative sugar ABC transporter ATP-binding 	CAC48867.1	NA
470	NA	SMb20486	Probable sugar ABC transporter	CAC48868.1	NA
471	NA	SMb20487	Probable sugar ABC transporter	CAC48869.1	NA
472	NA	SMb20488	Probable D-tagatose 3-epimerase	CAC48870.1	5.3.1.-
473	NA	SMb20489	Probable carbohydrate kinase	CAC48871.1	2.7.1.51
474	fucA2	SMb20490	L-fuculose-phosphate aldolase	CAC48872.1	4.1.2.17
475	NA	SMb22020	Conserved hypothetical protein	CAQ51281.1	NA
476	NA	SMb20491	Conserved hypothetical protein	CAC48873.1	NA
477	NA	SMb20492	3-oxoacyl-[acyl-carrier-protein] reductase	CAC48874.1	1.1.1.100
478	NA	SMb20493	3-oxoacyl-[acyl-carrier-protein] reductase	CAC48875.1	1.1.1.100
479	NA	SMb20494	Putative transcriptional regulator	CAC48876.1	NA
480	NA	SMb20495	Conserved hypothetical protein	CAC48877.1	NA
481	NA	SMb20496	Choline dehydrogenase	CAC48878.1	1.1.99.1
482	lyx	SMb20497	Putative L-xylulose kinase	CAC48879.1	2.7.1.53
483	NA	SMb20498	Fructose-bisphosphate aldolase	CAC48880.1	4.1.2.13
484	NA	SMb20499	Putative glycerol-3-phosphate dehydrogenase	CAC48881.1	1.1.99.5
485	NA	SMb20500	Putative aldoketo reductase	CAC48882.1	NA
486	NA	SMb20501	Putative transcriptional regulator	CAC48883.2	NA
487	NA	SMb20502	Probable sugar ABC transporter	CAC48884.1	NA
488	NA	SMb20503	Putative sugar ABC transporter ATP-binding 	CAC48885.1	NA
489	NA	SMb20504	Putative ABC transporter periplasmic 	CAC48886.1	NA
490	tfxG	SMb20505	Putative trifolitoxin immunity protein	CAC48887.1	NA
491	NA	SMb20506	Probable sugar ABC transporter	CAC48888.1	NA
492	NA	SMb20507	Probable sugar ABC transporter, putative 	CAC48889.1	NA
493	NA	SMb20508	Probable sugar ABC transporter, putative 	CAC48890.1	NA
494	NA	SMb20509	Putative transcriptional regulator	CAC48891.1	NA
495	dgoA	SMb20510	Probable galactonate dehydratase	CAC48892.1	4.2.1.6
496	NA	SMb20511	Putative oxidoreductase	CAC48893.1	NA
497	NA	SMb22021	Hypothetical protein predicted by 	CAQ51282.1	NA
498	NA	SMb20513	Hypothetical protein	CAC48894.1	NA
499	NA	SMb22022	Putative partial response regulator	CAQ51283.1	NA
500	NA	SMb20514	Protein-glutamate methylesterase	CAC48895.1	3.1.1.61
501	NA	SMb20515	Putative methyltransferase	CAC48896.1	2.1.1.80
502	NA	SMb20516	Putative response regulator	CAC48897.1	NA
503	NA	SMb20517	Hypothetical protein	CAC48898.1	NA
504	NA	SMb20518	Hypothetical protein	CAC48899.1	3.2.1.14
505	NA	SMb20519	Conserved hypothetical protein	CAC48900.1	NA
506	NA	SMb20520	Hypothetical protein	CAC48901.1	NA
507	NA	SMb20521	Probable multimeric flavodoxin WrbA	CAC48902.1	NA
508	NA	SMb20522	Hypothetical protein	CAC48903.1	NA
509	NA	SMb20523	Diguanylate cyclase signal peptide	CAC48904.1	NA
510	NA	SMb20525	Putative transcriptional regulator	CAC48905.1	NA
511	NA	SMb20527	Conserved hypothetical protein	CAC48906.1	NA
512	NA	SMb20528	Hypothetical protein	CAC48907.1	NA
513	NA	SMb20529	Conserved hypothetical protein	CAC48908.1	NA
514	NA	SMb20530	Hypothetical protein	CAC48909.1	NA
515	rpoE7	SMb20531	RNA polymerase sigma factor, ECF subfamily 	CAC48910.1	NA
516	NA	SMb20532	Hypothetical protein	CAC48911.1	NA
517	NA	SMb20533	Hypothetical protein	CAC48912.1	NA
518	NA	SMb20534	Hypothetical protein	CAC48913.1	NA
519	NA	SMb20535	Putative dehydrogenase	CAC48914.1	1.1.1.95
520	NA	SMb20536	Hypothetical protein	CAC48915.1	NA
521	NA	SMb20537	Probable transcriptional regulator	CAC48916.1	NA
522	NA	SMb20538	Probable sugar ABC transporter	CAC48917.1	NA
523	cyaF6	SMb20539	Probable adenylate cyclase	CAC48918.1	4.6.1.1
524	NA	SMb20540	Hypothetical protein	CAC48919.1	NA
525	NA	SMb22019	Putative partial transcriptional regulator	CAQ51284.1	NA
526	NA	SMb20541	Putative transposase	CAC48920.1	NA
527	NA	SMb20542	Putative protein in ISRm14	CAC48921.1	NA
528	NA	SMb20544	Putative protein in ISRm14	CAC48922.1	NA
529	NA	SMb20543	Putative transposase	CAC48923.1	NA
530	NA	SMb20545	Hypothetical protein	CAC48924.1	NA
531	NA	SMb20546	Conserved hypothetical protein	CAC48925.1	NA
532	NA	SMb20547	Hypothetical protein	CAC48926.1	NA
533	NA	SMb20548	Hypothetical protein	CAC48927.1	NA
534	NA	SMb20549	Hypothetical protein	CAC48928.1	2.1.1.62
535	NA	SMb20550	Conserved hypothetical protein	CAC48929.1	NA
536	NA	SMb20551	Hypothetical protein	CAC48930.1	NA
537	NA	SMb20552	Putative peptidase	CAC48931.1	3.1.2.-
538	NA	SMb20553	Hypothetical protein	CAC48932.1	NA
539	NA	SMb20554	Hypothetical protein	CAC48933.1	NA
540	NA	SMb20555	Hypothetical protein	CAC48934.1	NA
541	NA	SMb20556	Conserved hypothetical protein	CAC48935.2	NA
542	NA	SMb22006	Hypothetical protein	CAQ51285.1	NA
543	NA	SMb20557	Conserved hypothetical protein	CAC48936.1	NA
544	NA	SMb20558	Hypothetical protein	CAC48937.2	NA
545	NA	SMb20559	Hypothetical protein	CAC48938.2	NA
546	NA	SMb20560	Conserved hypothetical protein	CAC48939.1	NA
547	NA	SMb20561	Hypothetical protein	CAC48940.1	NA
548	NA	SMb20562	Hypothetical protein	CAC48941.1	NA
549	NA	SMb20563	Hypothetical protein	CAC48942.1	NA
550	kdsB2	SMb20803	Probable 3-deoxy-manno-octulosonate 	CAC48943.1	2.7.7.38
551	NA	SMb20804	Putative membrane-anchored protein	CAC48944.1	NA
552	NA	SMb20805	Putative glycosyltransferase	CAC48945.1	NA
553	NA	SMb20806	Hypothetical protein	CAC48946.1	NA
554	NA	SMb20807	Putative membrane protein	CAC48947.1	NA
555	NA	SMb20808	Putative membrane-anchored protein	CAC48948.1	NA
556	kpsF1	SMb20809	Arabinose-5-phosphate isomerase	CAC48949.1	5.3.1.13
557	NA	SMb20810	Putative O-acetyl transferase	CAC48950.1	2.3.1.-
558	NA	SMb20811	Putative protein	CAC48951.1	NA
559	NA	SMb20812	Conserved hypothetical protein, possibly 	CAC48952.1	NA
560	NA	SMb20813	ABC transporter, ATP-binding and permease 	CAC48953.2	NA
561	NA	SMb20814	Hypothetical protein	CAC48954.1	NA
562	NA	SMb20815	Putative protein, similar to protein involved in 	CAC48955.1	NA
563	NA	SMb20816	Hypothetical protein	CAC48956.1	NA
564	NA	SMb20817	Putative transcriptional regulator, LacI family 	CAC48957.1	NA
565	mocD	SMb20818	Hydrocarbon oxygenase, required for rhizopine 	CAC48958.2	NA
566	mocE	SMb20819	Putative ferredoxin of the Rieseke type	CAC48959.1	1.-.-.-
567	mocF	SMb20820	Putative ferredoxin reductase	CAC48960.1	1.18.1.3
568	NA	SMb20821	Putative 3-methyl-2-oxobutanoate 	CAC48961.1	2.1.2.11
569	rkpT2	SMb20822	Putative cell surface polysaccharide export 	CAC48962.1	NA
570	rkpZ2	SMb20823	Lipopolysaccharide processing protein 	CAC48963.1	NA
571	NA	SMb20824	Putative glycosyltransferase involved in capsule 	CAC48964.1	NA
572	NA	SMb20825	Putative acetyltransferase, cysElacA/lpxA/nodL 	CAC48965.1	2.3.1.-
573	NA	SMb20826	Hypothetical protein	CAC48966.1	NA
574	NA	SMb20827	Putative transposase, probably encoded by an 	CAC48967.1	NA
575	NA	SMb20828	Putative protein	CAC48968.1	NA
576	NA	SMb21663	Putative secretion activating protein	CAC48969.1	NA
577	NA	SMb21664	Hypothetical exported or membrane-anchored 	CAC48970.1	NA
578	NA	SMb21665	Hypothetical protein	CAC48971.1	NA
579	NA	SMb20829	Putative secreted calcium-binding protein	CAC48972.1	NA
580	kpsF2	SMb20830	Arabinose-5-phosphate isomerase	CAC48973.1	5.3.1.13
581	kpsE	SMb20831	Polysaccharide export inner-membrane protein	CAC48974.1	NA
582	rkpS	SMb20832	Capsular-polysaccharide-transporting ATPase	CAC48975.1	3.6.3.38
583	rkpT1	SMb20833	ABC-type polysaccharide export system, permease 	CAC48976.1	NA
584	rkpZ1	SMb20834	Probable lipopolysaccharide processing protein	CAC48977.1	NA
585	NA	SMb20835	Conserved hypothetical protein	CAC48978.1	NA
586	NA	SMb20836	Hypothetical protein	CAC48979.1	NA
587	NA	SMb20837	Hypothetical protein	CAC48980.1	NA
588	NA	SMb20838	Calcium binding protein	CAC48981.1	NA
589	NA	SMb20839	Hypothetical protein	CAC48982.1	NA
590	NA	SMb20840	Conserved hypothetical protein	CAC48983.1	NA
591	NA	SMb20841	Conserved hypothetical protein	CAC48984.2	NA
592	NA	SMb22007	Acyl carrier protein	CAQ51286.1	NA
593	NA	SMb20842	Hypothetical transmembrane protein	CAC48985.1	NA
594	algI	SMb20843	Predicted membrane protein involved in D- 	CAC48986.1	2.3.1.-
595	NA	SMb21013	Hypothetical protein	CAC48987.1	NA
596	NA	SMb21014	Putative protein, similar to part of LpsZ, 	CAC48988.1	NA
597	NA	SMb21015	Putative enzyme, similar to oxidoreductases 	CAC48989.1	NA
598	NA	SMb21016	Putative sugar ABC transporter	CAC48990.1	NA
599	NA	SMb21017	Putative sugar ABC transporter permease	CAC48991.1	NA
600	NA	SMb21018	Putative sugar ABC transporter permease	CAC48992.1	NA
601	NA	SMb21019	Putative sugar ABC transporter ATP-binding 	CAC48993.1	NA
602	NA	SMb21021	Putative transcriptional regulator	CAC48994.1	NA
603	NA	SMb21022	Probable sugar kinase, probably eggy family 	CAC48995.1	2.7.1.-
604	NA	SMb21023	Hypothetical protein	CAC48996.1	NA
605	NA	SMb21024	Hypothetical protein	CAC48997.1	NA
606	NA	SMb21025	Hypothetical protein	CAC48998.1	NA
607	NA	SMb21026	Hypothetical exopeptide protein	CAC48999.1	NA
608	NA	SMb21027	Hypothetical membrane-anchored protein	CAC49000.1	NA
609	NA	SMb21028	Conserved hypothetical protein, similar to 	CAC49001.1	NA
610	NA	SMb21029	Putative protein	CAC49002.1	NA
611	NA	SMb21030	Hypothetical protein	CAC49003.1	NA
612	NA	SMb21031	Hypothetical membrane-anchored protein	CAC49004.2	NA
613	NA	SMb21032	Hypothetical proline-rich protein	CAC49005.1	NA
614	NA	SMb21034	Putative protein	CAC49006.1	NA
615	NA	SMb21035	Hypothetical protein	CAC49007.1	NA
616	NA	SMb21036	Hypothetical protein	CAC49008.1	NA
617	NA	SMb21037	Putative oligopeptidemurein peptide ABC 	CAC49009.1	NA
618	NA	SMb21038	Putative oligopeptidemurein peptide ABC 	CAC49010.1	NA
619	NA	SMb21039	Putative oligopeptidemurein peptide ABC 	CAC49011.1	NA
620	NA	SMb21040	Putative oligopeptidemurein peptide ABC 	CAC49012.1	NA
621	NA	SMb21041	Conserved putative protein, possibly related to 	CAC49013.1	NA
622	pepT	SMb21042	Release of the N-terminal residue from a 	CAC49014.1	3.4.11.4
623	NA	SMb21043	Hypothetical protein	CAC49015.1	NA
624	NA	SMb21044	Putative ATP-dependent DNA ligase	CAC49016.1	6.5.1.1
625	NA	SMb22008	Hypothetical protein	CAQ51287.1	NA
626	NA	SMb21695	Hypothetical protein	CAC49017.1	NA
627	NA	SMb21698	Hypothetical protein	CAC49018.1	NA
628	exoI2	SMb21662	Putative succinoglycan biosynthesis protein	CAC49019.1	NA
629	NA	SMb21696	Hypothetical protein	CAC49020.1	NA
630	NA	SMb21709	Conserved hypothetical protein	CAC49021.1	NA
631	TRm10-1a	SMb21661	Putative transposase of insertion sequence 	CAC49022.2	NA
632	TRm10-1b-1	SMb21711	Putative transposase of insertion sequence 	CAC49023.2	NA
633	NA	SMb21710	RNA-directed DNA polymerase	CAC49024.1	2.7.7.49
634	TRm10-1b-2	SMb21046	Putative transposase of insertion sequence 	CAC49025.2	NA
635	NA	SMb22009	Acyl carrier protein (ACP).	CAQ51288.1	NA
636	NA	SMb22010	Putative two component transcriptional 	CAQ51289.1	NA
637	NA	SMb21047	Hypothetical protein	CAC49026.1	NA
638	NA	SMb21048	Hypothetical membrane protein	CAC49027.1	NA
639	NA	SMb21049	Hypothetical protein	CAC49028.1	NA
640	wzx1	SMb21050	Putative succinoglycan biosynthesis transport 	CAC49029.1	NA
641	NA	SMb21051	UDP-glucose 6-dehydrogenase	CAC49030.1	1.1.1.22
642	NA	SMb21052	DTDP-glucose 4,6-dehydratase	CAC49031.1	4.2.1.46
643	NA	SMb21053	Putative membrane-anchored glycosyltransferase	CAC49032.1	NA
644	NA	SMb21054	Hypothetical protein	CAC49033.1	NA
645	NA	SMb21055	Putative protein, slightly similar to 	CAC49034.1	NA
646	NA	SMb21056	Hypothetical protein	CAC49035.1	NA
647	NA	SMb21057	Conserved hypothetical protein	CAC49036.1	NA
648	NA	SMb21058	Putative glucose-1-phosphate cytidyltransferase, 	CAC49037.1	2.7.7.33
649	NA	SMb21059	Putative glucose-1-phosphate cytidyltransferase, 	CAC49038.1	2.7.7.33
650	NA	SMb21060	UDP-glucose 4-epimerase	CAC49039.1	5.1.3.2
651	NA	SMb21061	Putative NDP-hexose 3-C-methyltransferase	CAC49040.1	NA
652	NA	SMb21062	Putative sugar nucleotide processing enzyme, 	CAC49041.1	NA
653	NA	SMb21063	Hypothetical nucleotide-binding protein	CAC49042.1	NA
654	NA	SMb21064	Hypothetical protein	CAC49043.1	NA
655	NA	SMb21065	Hypothetical protein	CAC49044.1	NA
656	NA	SMb21066	Putative glycosyltransferase	CAC49045.1	NA
657	NA	SMb21067	Putative NDP-hexose methyltransferase	CAC49046.1	NA
658	NA	SMb21068	Putative lipopolysaccharide 	CAC49047.1	2.4.1.44
659	NA	SMb21069	Hypothetical protein	CAC49048.2	NA
660	exoP2	SMb21070	Putative tyrosine-protein kinase	CAC49049.1	2.7.10.1
661	NA	SMb21071	Putative undecaprenyl-phosphate 	CAC49050.1	2.7.8.6
662	NA	SMb21072	Hypothetical protein	CAC49051.1	NA
663	exoF2	SMb21073	Putative OMA family outer membrane saccharide 	CAC49052.1	NA
664	NA	SMb21074	Putative glycosyltransferase	CAC49053.1	NA
665	NA	SMb21075	Putative glycosyltransferase	CAC49054.1	NA
666	NA	SMb21076	Putative glycosyltransferase	CAC49055.1	2.4.1.21
667	NA	SMb21077	Putative protein	CAC49056.1	NA
668	NA	SMb21078	Putative glycosyl transferase	CAC49057.1	2.4.1.21
669	NA	SMb21079	Putative cAMP binding protein	CAC49058.1	NA
670	NA	SMb21080	Putative response regulator	CAC49059.1	NA
671	manB	SMb21081	Phosphomannomutase	CAC49060.1	5.4.2.8
672	manA	SMb21082	Probable mannose-6-phosphate isomerase, 	CAC49061.1	2.7.7.22
673	NA	SMb21083	Probable transposase	CAC49062.1	NA
674	NA	SMb21084	Hypothetical protein encoded by ORF2 of ISRm14, 	CAC49063.1	NA
675	NA	SMb21085	Putative transposase	CAC49064.1	NA
676	NA	SMb21086	Hypothetical protein	CAC49065.1	4.6.1.1
677	traA2	SMb21087	Putative conjugal transfer protein	CAC49066.1	NA
678	NA	SMb21088	Hypothetical protein	CAC49067.1	NA
679	NA	SMb21089	Carnitine dehydratase	CAC49068.1	4.2.1.89
680	NA	SMb21090	Hypothetical protein	CAC49069.1	NA
681	lysM	SMb21091	Lysozyme	CAC49070.1	3.2.1.17
682	NA	SMb21092	Putative acetyltransferase	CAC49071.1	2.3.1.-
683	NA	SMb21093	Putative transcriptional regulator, LysR family 	CAC49072.1	NA
684	argH2	SMb21094	Probable argininosuccinate lyase	CAC49073.1	4.3.2.1
685	NA	SMb21095	ABC transporter, permease	CAC49074.1	NA
686	NA	SMb21096	ABC transporter, permease	CAC49075.2	NA
687	NA	SMb21097	ABC transporter, periplasmic solute-binding 	CAC49076.1	NA
688	NA	SMb21098	Hypothetical membrane-anchored protein	CAC49077.1	NA
689	NA	SMb21099	Hypothetical protein	CAC49078.1	NA
690	NA	SMb21100	Probable polysaccharide deacetylase	CAC49079.1	3.5.1.-
691	NA	SMb21101	Conserved hypothetical membrane-anchored 	CAC49080.1	NA
692	NA	SMb21102	Putative transcriptional regulator	CAC49081.1	NA
693	NA	SMb21103	ABC sugar transporter, ATP-binding protein	CAC49082.1	NA
694	NA	SMb21104	ABC sugar transporter, permease	CAC49083.2	NA
695	NA	SMb21105	Putative sugar uptake ABC transporter permease	CAC49084.1	NA
696	NA	SMb21106	Putative sugar uptake ABC transporter 	CAC49085.1	NA
697	manR	SMb21107	Putative mandelate racemase or evolutionary 	CAC49086.1	5.1.2.2
698	NA	SMb21108	Conserved hypothetical protein, similar to 	CAC49087.1	NA
699	NA	SMb21109	Putative oxidoreductase	CAC49088.1	NA
700	NA	SMb21110	Putative MaoC-like (monoamine oxidase-like) 	CAC49089.1	1.4.3.4
701	NA	SMb21111	3-oxoacyl-[acyl-carrier-protein] reductase	CAC49090.1	1.1.1.100
702	hpaG	SMb21112	Putative bifunctional enzyme 	CAC49091.1	NA
703	NA	SMb21113	Probable racemase	CAC49092.2	5.1.2.2
704	nrtA	SMb21114	NrtA nitrate transport protein	CAC49093.1	NA
705	NA	SMb21115	Putative response regulator	CAC49094.1	NA
706	NA	SMb21116	Hypothetical protein	CAC49095.1	NA
707	NA	SMb21117	Putative transcriptional regulator	CAC49096.1	NA
708	gntK	SMb21119	Gluconokinase	CAC49098.2	2.7.1.12
709	NA	SMb21120	Hypothetical protein	CAC49099.1	NA
710	ivdH	SMb21121	Putative isovaleryl-CoA dehydrogenase	CAC49100.1	1.3.99.10
711	mccA	SMb21122	Putative methylcrotonoyl-CoA carboxylase 	CAC49101.1	6.4.1.4
712	NA	SMb21123	Hypothetical membrane-anchored protein, similar 	CAC49102.1	NA
713	mccB	SMb21124	Putative methylcrotonoyl-CoA carboxylase 	CAC49103.1	6.4.1.4
714	hmgL	SMb21125	Probable hydroxymethylglutaryl-CoA lyase	CAC49104.1	4.1.3.4
715	eccH2	SMb21126	Putative enoyl-CoA hydratase	CAC49105.1	4.2.1.17
716	NA	SMb21127	Conserved hypothetical protein	CAC49106.1	NA
717	NA	SMb21128	Conserved hypothetical membrane-anchored 	CAC49107.1	NA
718	NA	SMb21129	Putative oxidoreductase	CAC49108.1	NA
719	cysA2	SMb21130	Sulfate-transporting ATPase	CAC49109.1	3.6.3.25
720	cysP2	SMb21131	ABC-type sulfate transport system, periplasmic 	CAC49110.1	NA
721	NA	SMb21132	ABC transporter, permease	CAC49111.1	NA
722	NA	SMb21133	ABC transporter, periplasmic solute-binding 	CAC49112.1	NA
723	NA	SMb21134	Amino acid aldolase or racemase	CAC49113.1	5.1.1.1
724	NA	SMb21135	ABC transporter, periplasmic solute-binding 	CAC49114.1	NA
725	NA	SMb21136	ABC transporter, permease	CAC49115.1	NA
726	NA	SMb21137	ABC transporter, permease	CAC49116.1	NA
727	NA	SMb21138	ABC transporter, ATP-binding protein	CAC49117.1	NA
728	NA	SMb21139	Endoribonuclease-domain protein	CAC49118.1	NA
729	NA	SMb21140	Transcriptional regulator, IclR family	CAC49119.1	NA
730	NA	SMb21216	ABC transporter, ATP-binding protein	CAC49120.1	NA
731	NA	SMb21217	Sugar amine kinase	CAC49121.1	2.7.1.-
732	NA	SMb21218	Conserved hypothetical protein, may play a role 	CAC49122.1	NA
733	NA	SMb21219	ABC transporter, permease	CAC49123.1	NA
734	NA	SMb21220	ABC transporter, permease	CAC49124.2	NA
735	NA	SMb21221	ABC transporter, periplasmic solute-binding 	CAC49125.1	NA
736	NA	SMb21222	Putative transcriptional regulator	CAC49126.1	NA
737	nodP2	SMb21223	Putative sulfate adenylyltransferase subunit 2 	CAC49127.1	2.7.7.4
738	nodQ2	SMb21224	Sulfate adenylyltransferase	CAC49128.1	2.7.7.4
739	NA	SMb21225	Inositol-phosphate phosphatase	CAC49129.1	3.1.3.25
740	NA	SMb21226	Hypothetical protein	CAC49130.1	NA
741	NA	SMb21227	Hypothetical protein	CAC49131.1	6.3.5.5
742	NA	SMb21228	Putative nucleotide sugar epimerase dehydratase	CAC49132.1	NA
743	NA	SMb21229	Putative calcium-binding exported protein	CAC49133.1	NA
744	NA	SMb21230	Putative glycosyltransferase	CAC49134.1	NA
745	NA	SMb21231	Putative glycosyltransferase	CAC49135.1	NA
746	NA	SMb21613	Putative nucleoside-diphosphate sugar epimerase	CAC49136.1	NA
747	TRm1b	SMb21233	Probable transposase of insertion sequence ISRm1 	CAC49137.1	NA
748	TRm1a	SMb21234	Probable transposase of insertion sequence ISRm1 	CAC49138.2	NA
749	NA	SMb21235	Methionyl-tRNA formyltransferase	CAC49139.1	2.1.2.9
750	NA	SMb21236	Hypothetical protein	CAC49140.1	NA
751	NA	SMb21237	Putative enzyme, C-terminal domain similar to 	CAC49141.1	NA
