	gene	locus_tag	product	protein_id	EC_number
823	NA	SMc00885	Hypothetical transmembrane signal peptide 	CAC45393.1	NA
824	ilvD1	SMc00884	Putative dihydroxy-acid dehydratase	CAC45394.1	4.2.1.9
825	NA	SMc00883	Probable regucalcin	CAC45395.1	3.1.1.17
826	dgoA	SMc00882	Probable 2-dehydro-3-deoxy-6-phosphogalactonate 	CAC45396.1	4.1.2.21
827	dgoK1	SMc00881	Putative 2-dehydro-3-deoxygalactonokinase	CAC45397.1	2.7.1.58
828	fabG2	SMc00880	Probable 3-oxoacyl-(acyl carrier protein) 	CAC45398.1	1.1.1.100
829	NA	SMc00879	Putative transcriptional regulator	CAC45399.1	NA
830	NA	SMc00878	Putative transcriptional regulator	CAC45400.1	NA
831	NA	SMc00877	Putative transcriptional regulator	CAC45401.1	NA
832	NA	SMc00876	Putative MRP protein homolog ATP-binding	CAC45402.1	NA
833	corA2	SMc00874	Probable magnesium and cobalt transport 	CAC45403.1	NA
834	kup1	SMc04623	Probable KUP system potassium uptake 	CAC45404.1	NA
835	NA	SMc00928	Hypothetical signal peptide protein	CAC45405.1	NA
836	atpI	SMc00872	Putative F0F1 ATP synthase, subunit I 	CAC45406.2	NA
837	atpB	SMc00871	Probable ATP synthase A chain transmembrane 	CAC45407.1	3.6.3.14
838	atpE	SMc00870	Probable ATP synthase subunit C transmembrane 	CAC45408.1	3.6.3.14
839	atpF2	SMc00869	Probable ATP synthase subunit B' transmembrane 	CAC45409.1	3.6.3.14
840	atpF	SMc04877	Probable ATP synthase B chain transmembrane 	CAC45410.1	3.6.3.14
841	rnhB	SMc00867	Probable ribonuclease HII protein	CAC45411.1	3.1.26.4
842	NA	SMc00866	Hypothetical protein	CAC45412.1	NA
843	NA	SMc00865	Hypothetical protein	CAC45413.1	NA
844	NA	SMc00864	Hypothetical/unknown protein	CAC45414.1	NA
845	moaB	SMc00863	Probable molybdenum cofactor biosynthesis 	CAC45415.1	NA
846	ispE	SMc00862	4-diphosphocytidyl-2-C-methyl-D-erythritol 	CAC45416.1	2.7.1.148
847	NA	SMc00861	Hypothetical signal peptide protein	CAC45417.1	NA
848	ispB	SMc00860	Putative octaprenyl-diphosphate synthase	CAC45418.1	2.5.1.-
849	NA	SMc00859	Hypothetical/unknown protein	CAC45419.1	NA
850	NA	SMc00858	Conserved hypothetical protein	CAC45420.1	NA
851	sohB	SMc00857	Probable proteinase	CAC45421.1	3.4.-.-
852	NA	SMc00856	Conserved hypothetical transmembrane protein	CAC45422.1	NA
853	glyQ	SMc00855	Probable glycyl-tRNA synthetase alpha chain	CAC45423.1	6.1.1.14
854	NA	SMc00854	Hypothetical/unknown signal peptide protein	CAC45424.1	NA
855	NA	SMc04624	Hypothetical transmembrane protein	CAC45425.1	NA
856	NA	SMc00852	Hypothetical transmembrane signal peptide 	CAC45426.1	NA
857	glyS	SMc00851	Probable glycyl-tRNA synthetase beta chain	CAC45427.1	6.1.1.14
858	NA	SMc00850	Conserved hypothetical protein	CAC45428.1	NA
859	NA	SMc00849	Hypothetical protein	CAC45429.1	NA
860	purD	SMc00993	Probable phosphoribosylamine--glycine ligase	CAC45430.1	6.3.4.13
861	NA	SMc00992	Diguanylate cyclase/phosphodiesterase	CAC45431.1	NA
862	NA	SMc00991	Putative spermidine/putrescine ABC transporter	CAC45432.1	NA
863	fsr	SMc00990	Putative fosmidomycin resistance antibiotic 	CAC45433.1	NA
864	NA	SMc00994	Putative transcription regulator	CAC45434.2	NA
865	NA	SMc00989	Hypothetical signal peptide protein	CAC45435.1	NA
866	ubiA	SMc00988	Probable 4-hydroxybenzoate octaprenyltransferase 	CAC45436.1	2.5.1.-
867	NA	SMc00987	Conserved hypothetical protein	CAC45437.1	NA
868	NA	SMc00986	Hypothetical protein	CAC45438.1	NA
869	pdxR	SMc00985	4-phospho-D-erythronate dehydrogenase	CAC45439.2	1.1.1.-
870	NA	SMc00984	Conserved hypothetical protein	CAC45440.1	NA
871	NA	SMc00983	Hypothetical/unknown protein	CAC45441.1	NA
872	NA	SMc00982	Putative dioxygenase Rieske 2Fe-2S family 	CAC45442.1	1.14.12.-
873	NA	SMc00981	Putative ferredoxin protein	CAC45443.1	NA
874	NA	SMc00980	Glycosyl hydrolase family protein	CAC45444.1	NA
875	NA	SMc04875	Hypothetical transmembrane protein	CAC45445.1	NA
876	NA	SMc00978	Hypothetical transmembrane protein	CAC45446.1	NA
877	NA	SMc00977	Putative acyl-CoA dehydrogenase	CAC45447.1	1.3.99.-
878	NA	SMc00976	Putative enoyl-CoA hydratase	CAC45448.1	4.2.1.17
879	mcpU	SMc00975	Probable chemoreceptor (methyl-accepting 	CAC45449.2	NA
880	NA	SMc00974	Putative RNA methyltransferase	CAC45450.1	2.1.1.-
881	NA	SMc00973	Probable hemolysin	CAC45451.2	NA
882	dxs	SMc00972	Probable 1-deoxyxylulose-5-phosphate synthase	CAC45452.1	2.2.1.7
883	NA	SMc00971	Probable pirin-related protein	CAC45453.1	NA
884	xseB	SMc00970	Putative exodeoxyribonuclease 7 small subunit	CAC45454.1	3.1.11.6
885	NA	SMc00969	Conserved hypothetical protein	CAC45455.1	NA
886	NA	SMc00968	Putative quinone oxidoreductase	CAC45456.1	1.6.5.5
887	NA	SMc00967	Conserved hypothetical protein	CAC45457.1	NA
888	NA	SMc00966	Putative acetyl-CoA C-acetyltransferase	CAC45458.1	2.3.1.9
889	NA	SMc00965	Putative acyl-CoA synthase	CAC45459.1	6.2.1.3
890	bioB	SMc00964	Putative biotin transporter	CAC45460.1	NA
891	bioN	SMc00963	Biotin ABC transporter, permease component	CAC45461.1	NA
892	bioM	SMc00962	Biotin ABC transporter, ATP-binding component	CAC45462.1	3.6.3.25
893	NA	SMc00961	Conserved hypothetical protein	CAC45463.1	NA
894	tldD	SMc04518	Peptidase U62 family protein	CAC45464.1	NA
895	NA	SMc00068	Probable D-alanyl-D-alanine carboxypeptidase	CAC45465.1	3.4.16.4
896	NA	SMc00001	Hypothetical protein	CAC45466.1	NA
897	pdxH	SMc00069	Probable pyridoxamine 5'-phosphate oxidase 	CAC45467.1	1.4.3.5
898	NA	SMc00002	Conserved hypothetical protein	CAC45468.1	NA
899	NA	SMc00003	Putative chaperone protein	CAC45469.1	NA
900	fabI1	SMc00005	Putative enoyl-acyl-carrier-protein reductase 	CAC45470.1	1.3.1.9
901	gpmB	SMc00006	Probable phosphoglycerate mutase	CAC45471.1	5.4.2.1
902	NA	SMc00070	Conserved hypothetical signal peptide protein	CAC45472.1	NA
903	aroC	SMc00007	Probable chorismate synthase	CAC45473.1	4.2.3.5
904	ribA	SMc00008	Probable riboflavin biosynthesis protein RibA 	CAC45474.1	3.5.4.25
905	ialB	SMc00071	Conserved hypothetical protein	CAC45475.1	NA
906	ctaC	SMc00009	Putative cytochrome C oxidase subunit II	CAC45476.1	1.9.3.1
907	ctaD	SMc00010	Putative cytochrome C oxidase polypeptide I 	CAC45477.1	1.9.3.1
908	ctaB	SMc00450	Putative heme O synthase transmembrane protein	CAC45478.1	NA
909	NA	SMc00130	Hypothetical transmembrane protein	CAC45479.1	NA
910	ctaG	SMc00012	Putative cytochrome C oxidase assembly 	CAC45480.1	NA
911	ctaE	SMc00013	Putative cytochrome C oxidase subunit III 	CAC45481.2	1.9.3.1
912	NA	SMc00014	Hypothetical/unknown transmembrane protein	CAC45482.1	NA
913	surf1	SMc00085	Probable Surf	CAC45483.1	NA
914	ispH	SMc04618	Probable 4-hydroxy-3-methylbut-2-enyl 	CAC45484.1	1.17.1.2
915	thrB	SMc00017	Putative homoserine kinase	CAC45485.1	2.7.1.39
916	rnhA1	SMc00018	Probable ribonuclease HI protein	CAC45486.1	3.1.26.4
917	NA	SMc00072	Hypothetical peroxiredoxin protein	CAC45487.1	NA
918	NA	SMc00073	Hypothetical protein	CAC45488.1	NA
919	NA	SMc00019	Conserved hypothetical protein	CAC45489.1	NA
920	NA	SMc00074	Diguanylate cyclase/phosphodiesterase	CAC45490.1	NA
921	rimJ	SMc00075	Probable ribosomal-protein-alanine 	CAC45491.1	2.3.1.128
922	NA	SMc00451	Probable processing protease	CAC45492.2	3.4.-.-
923	thrC1	SMc00077	Probable threonine synthase	CAC45493.1	4.2.3.1
924	NA	SMc00020	Hypothetical protein	CAC45494.1	NA
925	NA	SMc00078	Putative methionine ABC transporter, periplasmic 	CAC45495.1	NA
926	NA	SMc00079	Conserved hypothetical protein	CAC45496.1	NA
927	NA	SMc00080	Probable transcriptional regulator	CAC45497.1	NA
928	ccrM	SMc00021	Adenine DNA methyltransferase	CAC45498.1	2.1.1.72
929	NA	SMc00081	Conserved hypothetical protein	CAC45499.1	NA
930	mutY	SMc00452	Probable A/G-specific adenine glycosylase	CAC45500.1	NA
931	NA	SMc00022	Conserved hypothetical protein	CAC45501.1	NA
932	NA	SMc00023	Hypothetical protein	CAC45502.1	NA
933	NA	SMc05003	Hypothetical protein	CAQ52372.1	NA
934	smc	SMc00024	Putative chromosome partition protein	CAC45503.1	NA
935	ppdK	SMc00025	Putative pyruvate phosphate dikinase	CAC45504.1	2.7.9.1
936	NA	SMc00083	Hypothetical protein	CAC45505.1	NA
937	NA	SMc00084	Hypothetical protein	CAC45506.1	NA
938	NA	SMc00026	Conserved hypothetical transmembrane protein	CAC45507.1	NA
939	tRNA-GLN_TTG	SMc00125	Probable metallo-beta-lactamase	CAC45508.1	3.1.2.6
940	NA	SMc00027	Hypothetical/unknown protein	CAC45509.1	NA
941	NA	SMc00028	Hypothetical transmembrane protein	CAC45510.1	NA
942	tRNA-PRO_CGG	SMc00126	Hypothetical/unknown transmembrane protein	CAC45511.1	NA
943	NA	SMc00029	Hypothetical/unknown protein	CAC45512.1	NA
944	NA	SMc00089	Hypothetical protein	CAC45513.1	NA
945	cysN	SMc00090	Putative sulfate adenylate transferase cysteine 	CAC45514.1	2.7.7.4
946	cysD	SMc00091	Putative sulfate adenylate transferase subunit 2 	CAC45515.1	2.7.7.4
947	cysH	SMc00092	Phosphoadenosine phosphosulfate reductase	CAC45516.1	1.8.4.8
948	NA	SMc00030	Hypothetical/unknown signal peptide protein	CAC45517.1	NA
949	NA	SMc00031	Hypothetical/unknown transmembrane protein	CAC45518.1	NA
950	betA	SMc00093	Choline dehydrogenase CHD oxidoreductase 	CAC45519.1	1.1.99.1
951	betB	SMc00094	Betaine aldehyde dehydrogenase badh 	CAC45520.1	1.2.1.8
952	betC	SMc00127	Choline sulfatase	CAC45521.1	3.1.6.6
953	betI	SMc00095	Transcriptional repressor of bet operon, TetR 	CAC45522.1	NA
954	NA	SMc00032	Hypothetical transmembrane protein	CAC45523.1	NA
955	NA	SMc00033	Diguanylate cyclase/phosphodiesterase	CAC45524.1	NA
956	NA	SMc00034	Putative quinone oxidoreductase	CAC45525.1	1.6.5.5
957	NA	SMc00096	Hypothetical/unknown protein	CAC45526.1	NA
958	NA	SMc00035	Conserved hypothetical protein	CAC45527.1	NA
959	gst1	SMc00036	Putative glutathione S-transferase	CAC45528.1	2.5.1.18
960	lsrA	SMc00037	Transcription regulator LysR family	CAC45529.1	NA
961	gst2	SMc00097	Putative glutathione S-transferase	CAC45530.1	2.5.1.18
962	NA	SMc00038	Diguanylate cyclase/phosphodiesterase	CAC45531.1	NA
963	NA	SMc04620	Hypothetical protein	CAC45532.1	NA
964	NA	SMc00098	Probable transcriptional regulator	CAC45533.1	NA
965	NA	SMc00040	Putative organic hydroperoxide resistance 	CAC45534.1	NA
966	phnA	SMc00099	Probable alkylphosphonate uptake protein	CAC45535.1	NA
967	NA	SMc00100	Conserved hypothetical protein	CAC45536.1	NA
968	NA	SMc00041	Hypothetical transmembrane protein	CAC45537.1	NA
969	dkgB	SMc04515	Putative 2,5-diketo-D-gluconic acid reductase B	CAC45538.1	1.1.1.274
970	tam	SMc00225	Probable trans-aconitate methyltransferase	CAC45539.1	2.1.1.144
971	dhe	SMc00103	Putative (S)-2-haloacid dehalogenase IVA	CAC45540.1	3.8.1.2
972	NA	SMc00104	Hypothetical protein	CAC45541.1	NA
973	NA	SMc00105	Probable alcohol dehydrogenase	CAC45542.1	1.1.1.1
974	ilvE2	SMc00042	Putative aminotransferase	CAC45543.2	2.6.1.42
975	NA	SMc00106	Conserved hypothetical protein	CAC45544.1	NA
976	sodB	SMc00043	Probable superoxide dismutase FE protein	CAC45545.1	1.15.1.1
977	NA	SMc00107	Putative transcriptional regulator	CAC45546.1	NA
978	NA	SMc00044	Putative amino acid exporter	CAC45547.1	NA
979	cycF	SMc00045	Probable Cytochrome c556	CAC45548.1	NA
980	cycG	SMc00086	Putative diheme cytochrome C-type signal peptide 	CAC45549.1	NA
981	NA	SMc00108	Putative acetyltransferase	CAC45550.1	NA
982	NA	SMc04621	Probable transcriptional regulator	CAC45551.1	NA
983	bla	SMc00047	Putative beta-lactamase signal peptide protein	CAC45552.1	3.5.2.6
984	gcd	SMc00110	Probable glucose dehydrogenase 	CAC45553.1	1.1.5.2
985	NA	SMc00453	Conserved hypothetical protein	CAC45554.1	NA
986	NA	SMc00112	Conserved hypothetical protein	CAC45555.1	NA
987	NA	SMc00454	Hypothetical protein	CAC45556.1	NA
988	ptrB	SMc00114	Probable protease II oligopeptidase B hydrolase 	CAC45557.1	3.4.21.83
989	NA	SMc00115	Conserved hypothetical protein	CAC45558.1	NA
990	NA	SMc00048	Conserved hypothetical protein	CAC45559.1	NA
991	NA	SMc00049	Hypothetical protein	CAC45560.1	NA
992	NA	SMc04516	Probable HlyIII	CAC45561.1	NA
993	NA	SMc00116	Conserved hypothetical protein	CAC45562.1	NA
994	msrB1	SMc00117	Probable peptide methionine sulfoxide reductase	CAC45563.2	1.8.4.11
995	phaA2	SMc00051	Probable Na(+)/H(+)-antiporter	CAC45564.1	NA
996	phaB2	SMc00052	Probable Na(+)/H(+) antiporter	CAC45565.1	1.6.5.3
997	phaC2	SMc00053	Probable Na(+)/H(+)-antiporter	CAC45566.1	NA
998	phaD2	SMc00054	Probable Na(+)/H(+)-antiporter	CAC45567.1	1.6.5.-
999	phaE2	SMc00055	Probable Na(+)/H(+)-antiporter	CAC45568.1	NA
1000	phaF2	SMc00056	Probable Na(+)/H(+)-antiporter	CAC45569.1	NA
1001	phaG2	SMc00057	Probable Na(+)/H(+)-antiporter	CAC45570.1	NA
1002	mucR	SMc04619	Transcriptional regulator of exopolysaccharide 	CAC45571.1	NA
1003	NA	SMc00118	Conserved hypothetical protein	CAC45572.1	NA
1004	NA	SMc00456	Hypothetical protein	CAC45573.1	NA
1005	NA	SMc00059	Putative sensor histidine kinase	CAC45574.1	NA
1006	NA	SMc00060	Hypothetical protein	CAC45575.2	NA
1007	NA	SMc04517	Conserved hypothetical protein	CAC45576.1	NA
1008	NA	SMc00120	Conserved hypothetical protein	CAC45577.2	NA
1009	NA	SMc00062	Hypothetical protein	CAC45578.1	NA
1010	NA	SMc00063	Hypothetical protein	CAC45579.1	NA
1011	NA	SMc00128	Hypothetical transmembrane protein	CAC45580.1	NA
1012	NA	SMc00457	Hypothetical transmembrane protein	CAC45581.1	NA
1013	pbp	SMc00122	Putative penicillin-binding protein	CAC45582.1	2.4.1.129
1014	NA	SMc00064	Conserved hypothetical protein	CAC45583.1	NA
1015	NA	SMc00123	Conserved hypothetical protein	CAC45584.1	NA
1016	NA	SMc00065	Hypothetical protein	CAC45585.1	NA
1017	feuP	SMc00458	Response regulators consisting of a CheY-like 	CAC45586.1	NA
1018	feuQ	SMc00129	Probable sensor histidine kinase	CAC45587.1	NA
1019	lppA	SMc00067	Probable LipA	CAC45588.1	NA
1020	cycH	SMc02361	Cytochrome C-type biogenesis transmembrane 	CAC45589.1	NA
1021	cycJ	SMc02362	Cytochrome C-type biogenesis transmembrane 	CAC45590.1	NA
1022	cycK	SMc02363	Cytochrome C-type biogenesis transmembrane 	CAC45591.1	NA
1023	cycL	SMc02364	Cytochrome C-type biogenesis transmembrane 	CAC45592.1	NA
1024	degP1	SMc02365	Probable serine protease	CAC45593.1	3.4.21.-
1025	ragA	SMc02366	Probable response regulator	CAC45594.1	NA
1026	NA	SMc02367	Putative sensor histidine kinase transmembrane 	CAC45595.1	NA
1027	glnE	SMc02368	Putative glutamate-ammonia-ligase 	CAC45596.1	2.7.7.42
1028	NA	SMc02369	Putative sensor histidine kinase transmembrane 	CAC45597.1	NA
1029	pepN	SMc02370	Probable aminopeptidase N	CAC45598.1	3.4.11.2
1030	NA	SMc02371	Hypothetical transmembrane protein	CAC45599.1	NA
1031	NA	SMc02372	Putative MFS permease	CAC45600.1	NA
1032	NA	SMc02373	Hypothetical unknown protein	CAC45601.1	NA
1033	NA	SMc02374	Hypothetical unknown protein	CAC45602.1	NA
1034	NA	SMc02375	Putative DNA polymerase bacteriophage-type	CAC45603.1	2.7.7.7
1035	NA	SMc02376	Putative heat shock protein	CAC45604.1	NA
1036	etf	SMc02377	Probable electron transfer 	CAC45605.1	1.5.5.1
1037	NA	SMc02378	Probable glycine betaine ABC transporter, 	CAC45606.1	NA
1038	NA	SMc02379	Probable glycine betaine ABC transporter, 	CAC45607.1	NA
1039	NA	SMc02380	Putative oxidoreductase transmembrane protein	CAC45608.1	NA
1040	NA	SMc02381	Conserved hypothetical protein	CAC45609.1	NA
1041	NA	SMc04672	Conserved hypothetical protein	CAC45610.1	NA
1042	NA	SMc02383	Hypothetical transmembrane protein	CAC45611.1	NA
1043	NA	SMc02384	Putative glycosyltransferase transmembrane 	CAC45612.1	NA
1044	NA	SMc02385	Hypothetical transmembrane protein	CAC45613.1	NA
1045	amn	SMc02386	Probable AMP nucleosidase	CAC45614.1	3.2.2.4
1046	NA	SMc02387	Hypothetical transmembrane protein	CAC45615.1	NA
1047	NA	SMc02388	Hypothetical unknown transmembrane protein	CAC45616.1	NA
1048	NA	SMc02389	Hypothetical unknown transmembrane protein	CAC45617.1	NA
1049	gst7	SMc02390	Putative glutathione S-transferase	CAC45618.1	2.5.1.18
1050	NA	SMc02391	Conserved hypothetical transmembrane protein	CAC45619.1	NA
1051	NA	SMc02392	Hypothetical protein	CAC45620.1	NA
1052	tRNA-SER_GCT	SMc02409	Probable histidinol-phosphate aminotransferase	CAC45621.1	2.6.1.9
1053	NA	SMc02394	Conserved hypothetical protein	CAC45622.1	NA
1054	NA	SMc02461	Conserved hypothetical protein	CAC45623.1	NA
1055	NA	SMc02396	Probable outer membrane protein	CAC45624.1	NA
1056	NA	SMc02411	Putative integrase	CAC45625.1	NA
1057	TRm2011-2a	SMc02398	Transposase for insertion sequence element 	CAC45626.1	NA
1058	NA	SMc05004	Hypothetical protein of ISRm2011-2, orfC	CAQ52373.1	NA
1059	TRm2011-2b	SMc02399	Transposase for insertion sequence element 	CAC45627.1	NA
1060	NA	SMc02400	Probable outer membrane protein	CAC45628.1	NA
1061	NA	SMc02401	Hypothetical transmembrane protein	CAC45636.1	NA
1062	NA	SMc02403	Probable soluble lytic murein transglycosylase	CAC45637.1	3.2.1.-
1063	dapA1	SMc02404	Putative dihydrodipicolinate synthase	CAC45638.1	4.2.1.52
1064	smpB	SMc04542	Conserved hypothetical protein	CAC45639.1	NA
1065	NA	SMc02406	Hypothetical protein	CAC45640.1	3.4.21.-
1066	NA	SMc04543	Hypothetical protein	CAC45641.1	NA
1067	NA	SMc02407	Conserved hypothetical protein	CAC45642.1	NA
1068	rpoZ	SMc02408	DNA-directed RNA polymerase omega subunit	CAC45643.1	2.7.7.6
1069	relA	SMc02659	Putative GTP pyrophosphokinase (ATP:GTP 	CAC45644.1	2.7.6.5
1070	NA	SMc02658	Hypothetical protein	CAC45645.1	NA
1071	NA	SMc02657	Hypothetical protein	CAC45646.1	NA
1072	NA	SMc02656	Hypothetical unknown protein	CAC45647.1	NA
1073	NA	SMc02655	Hypothetical transmembrane protein	CAC45648.1	NA
1074	acpS	SMc02654	Probable holo-acyl-carrier protein synthase	CAC45649.1	2.7.8.7
1075	lepB	SMc02653	Probable signal peptidase I transmembrane 	CAC45650.1	3.4.21.89
1076	rnc	SMc02652	Probable ribonuclease III	CAC45651.1	3.1.26.3
1077	era	SMc02651	Probable GTP-binding protein	CAC45652.1	NA
1078	arsH	SMc02650	Conserved hypothetical protein	CAC45653.1	NA
1079	arsC	SMc02649	Arsenate reductase	CAC45654.1	1.20.4.1
1080	aqpS	SMc02648	aquaglyceroporin	CAC45655.1	NA
1081	arsR	SMc02647	Transcriptional regulator	CAC45656.1	NA
1082	NA	SMc02646	Putative glycerophosphoryl diester 	CAC45657.1	3.1.4.46
1083	cfa2	SMc02645	Putative cyclopropane-fatty-acyl-phospholipid 	CAC45658.1	2.1.1.79
1084	NA	SMc02644	Putative transcriptional accessory protein	CAC45659.1	NA
1085	NA	SMc02642	Hypothetical protein	CAC45660.1	NA
1086	rkpK	SMc02641	UDP-glucose 6-dehydrogenase	CAC45661.1	1.1.1.22
1087	lpsL	SMc02640	UDP-glucuronate 5'-epimerase	CAC45662.1	5.1.3.12
1088	NA	SMc02639	Putative transcription regulator	CAC45663.1	NA
1089	NA	SMc02638	Hypothetical transmembrane protein	CAC45664.1	NA
1090	NA	SMc02637	Hypothetical protein	CAC45665.1	NA
1091	NA	SMc02636	Conserved hypothetical protein	CAC45666.1	NA
1092	recO	SMc04546	Recombinational DNA repair protein (RecF 	CAC45667.1	NA
1093	NA	SMc02634	Hypothetical transmembrane protein	CAC45668.1	NA
1094	NA	SMc02633	Hypothetical transmembrane protein	CAC45669.1	NA
1095	NA	SMc02632	Conserved hypothetical protein	CAC45670.1	NA
1096	NA	SMc02631	Conserved hypothetical protein	CAC45671.1	NA
1097	NA	SMc02603	Probable MFS permease	CAC45672.1	NA
1098	nadA	SMc02601	Probable quinolinate synthetase A	CAC45673.1	NA
1099	nadB	SMc02599	Probable L-aspartate oxidase	CAC45674.1	1.4.3.16
1100	nadC	SMc02598	Probable nicotinate-nucleotide pyrophosphorylase 	CAC45675.1	2.4.2.19
1101	sodC	SMc02597	Putative superoxide dismutase CU-ZN precursor 	CAC45676.1	1.15.1.1
1102	NA	SMc02661	Putative toxin secretion ATP-binding ABC 	CAC45677.1	NA
1103	NA	SMc02571	Putative secretion membrane fusion protein	CAC45678.1	NA
1104	NA	SMc02660	Putative acyltransferase	CAC45679.1	2.3.1.-
1105	NA	SMc02565	Hypothetical protein	CAC45680.1	NA
1106	NA	SMc02561	Hypothetical protein	CAC45681.1	NA
1107	NA	SMc02559	Conserved hypothetical protein	CAC45682.1	NA
1108	NA	SMc02558	Putative aminomethyltransferase	CAC45683.1	NA
1109	NA	SMc02557	Hypothetical protein	CAC45684.2	NA
1110	NA	SMc02556	Conserved hypothetical protein	CAC45685.1	NA
1111	NA	SMc02555	Conserved hypothetical signal peptide protein	CAC45686.1	NA
1112	NA	SMc02554	Putative ADP-ribose pyrophosphatase	CAC45687.1	3.6.1.-
1113	NA	SMc02553	Conserved hypothetical protein	CAC45688.1	NA
1114	NA	SMc02552	Hypothetical unknown protein	CAC45689.1	NA
1115	cysS	SMc02551	Probable cysteinyl-tRNA synthetase	CAC45690.1	6.1.1.16
1116	NA	SMc02550	Conserved hypothetical protein	CAC45691.1	NA
1117	NA	SMc02549	Conserved hypothetical protein	CAC45692.1	NA
1118	NA	SMc02548	Conserved hypothetical protein	CAC45693.1	NA
1119	pip1	SMc02547	Putative proline iminopeptidase	CAC45694.2	3.4.11.5
1120	leuA2	SMc02546	Putative 2-isopropylmalate synthase	CAC45695.1	2.3.3.13
1121	NA	SMc02545	Hypothetical transmembrane protein	CAC45696.1	NA
1122	NA	SMc02544	Conserved hypothetical protein	CAC45697.1	NA
1123	NA	SMc02543	Conserved hypothetical protein	CAC45698.1	NA
1124	NA	SMc00550	Probable ABC transporter ATP-binding 	CAC45699.1	NA
1125	psd	SMc00551	Probable phosphatidylserine decarboxylase	CAC45700.1	4.1.1.65
1126	pssA	SMc04481	Phosphatidylserine synthase	CAC45701.1	2.7.8.8
1127	NA	SMc00553	Probable NAD/NADP dependent oxidoreductase	CAC45702.1	1.1.1.-
1128	purF	SMc00554	Probable amidophosphoribosyltransferase, prpp 	CAC45703.1	2.4.2.14
1129	cvpA	SMc00555	Putative colicin V production homolog 	CAC45704.1	NA
1130	radA	SMc00556	Putative DNA repair protein	CAC45705.1	NA
1131	alr	SMc00557	Putative alanine racemase	CAC45706.1	5.1.1.1
1132	NA	SMc04651	Probable transcriptional regulator	CAC45707.1	NA
1133	NA	SMc00559	Hypothetical transmembrane protein	CAC45708.1	NA
1134	NA	SMc00560	Hypothetical transmembrane protein	CAC45709.1	NA
1135	dnaB	SMc00561	Probable replicative DNA helicase	CAC45710.1	3.6.1.-
1136	NA	SMc00562	Transcription regulator, MarR family	CAC45711.1	NA
1137	NA	SMc00563	Putative transport protein transmembrane	CAC45712.1	NA
1138	NA	SMc00564	Multidrug resistance protein	CAC45713.1	NA
1139	rplI	SMc00565	Probable 50S ribosomal protein L9	CAC45714.1	NA
1140	NA	SMc00566	Hypothetical transmembrane protein	CAC45715.1	NA
1141	rpsR	SMc00567	Putative 30S ribosomal protein S18	CAC45716.1	NA
1142	rpsF	SMc00568	Putative 30S ribosomal protein S6	CAC45717.1	NA
1143	NA	SMc00569	Conserved hypothetical protein	CAC45718.1	NA
1144	NA	SMc00570	Probable oxidoreductase	CAC45719.1	NA
1145	fabD	SMc00571	Probable malonyl CoA-acyl carrier protein 	CAC45720.1	2.3.1.39
1146	fabG	SMc00572	Probable 3-oxoacyl-acyl-carrier protein 	CAC45721.1	1.1.1.100
1147	acpP	SMc00573	Acyl carrier protein	CAC45722.1	NA
1148	fabF	SMc00574	Probable 3-oxoacyl-acyl-carrier-protein synthase 	CAC45723.1	2.3.1.41
1149	NA	SMc00575	Conserved hypothetical protein	CAC45724.1	NA
1150	NA	SMc00576	Conserved hypothetical protein	CAC45725.1	NA
1151	gmk	SMc00577	Probable guanylate kinase	CAC45726.1	2.7.4.8
1152	NA	SMc04570	Hypothetical protein	CAC45727.1	NA
1153	ksgA	SMc00579	Putative dimethyladenosine transferase	CAC45728.1	2.1.1.48
1154	pdxA1	SMc00580	Probable pyridoxal phosphate biosynthetic 	CAC45729.1	1.1.1.262
1155	NA	SMc00581	Hypothetical protein	CAC45730.1	NA
1156	NA	SMc00582	Hypothetical protein	CAC45731.1	NA
1157	NA	SMc00583	Hypothetical, transmembrane protein	CAC45732.1	NA
1158	NA	SMc00584	Hypothetical transmembrane protein	CAC45733.1	NA
1159	pepA	SMc00585	Probable aminopeptidase A/I protein	CAC45734.1	3.4.11.1
1160	NA	SMc04469	Putative DNA polymerase III chi subunit	CAC45735.1	2.7.7.7
1161	NA	SMc05005	Putative transposase	CAQ52374.1	NA
1162	gal	SMc00588	Putative D-galactose 1-dehydrogenase	CAC45736.1	1.1.1.48
1163	NA	SMc00589	Conserved hypothetical protein	CAC45737.1	NA
1164	NA	SMc00590	Putative ABC transporter ATP-binding protein	CAC45738.1	NA
1165	NA	SMc00591	Hypothetical/unknown signal peptide protein	CAC45739.1	NA
1166	NA	SMc00592	Hypothetical, transmembrane protein	CAC45740.1	NA
1167	NA	SMc00593	Conserved hypothetical protein	CAC45741.1	NA
1168	ligE	SMc00594	Putative beta-etherase (beta-aryl ether cleaving 	CAC45742.1	NA
1169	ndk	SMc00595	Probable nucleoside diphosphate kinase	CAC45743.1	2.7.4.6
1170	NA	SMc00596	Conserved hypothetical protein	CAC45744.1	NA
1171	NA	SMc00597	Conserved hypothetical protein	CAC45745.1	NA
1172	NA	SMc00598	Putative branched-chain amino acid transport 	CAC45746.1	NA
1173	moaE	SMc00599	Probable molybdopterin MPT converting factor, 	CAC45747.1	NA
1174	moaD	SMc00600	Probable molybdopterin MPT converting factor, 	CAC45748.1	NA
1175	pgsA	SMc00601	Probable 	CAC45749.1	2.7.8.5
